ID,TIF DISTRICT,PROJECT NAME,ADDRESS,DEVELOPER,PROJECT ID,PROJECT DESCRIPTION,CDC DATE,APPROVED AMOUNT,TOTAL PROJECT COST,LATITUDE,LONGITUDE
11837,Near West <Madison/Racine,Lake Street Studios RDA,727 W Lake St,Lake Street Studios Limited Partnership,,"Located in the Near West community, the project entails the construction of a nine-story 61 unit studio building for homeless and at risk homeless individuals. , The 61 affordable rental units are for individuals with incomes between 30% area median income and 60% area median income.",5/14/13,"$1,289,470 ","$17,463,063 ",41.8855647,-87.64685508
1538,Madden/Wells,Madden Wells - 2-A - Rental,346 E 53rd St,Oakwood Shores Phase 2A Associates L.P.,702,The project includes construction of 199 rental units in 14 buildings.   The units include 57 market rate units and 142 affordable units at or below 60% area median income.  81 of the affordable units replaced public housing.,7/10/07,"$2,900,000 ","$57,569,913 ",41.79854996,-87.61745669
1500,119th/Halsted,Hancock House Sr Apts,12045 S Emerald Av,Hancock House LP,617,The Hancock House Senior Apartments project is located 119th/Halsted TIF District. The project consist of the construction of a 7-story building containing 89 units of senior housing and 37 parking spaces. 80 units will be affordable. 15 affordable units will be set aside for tenants with less than 30% of AMI.,12/11/07,"$575,000 ","$19,163,496 ",41.67469008,-87.64051484
11654,Montrose/Clarendon,Montrose Clarendon TIF,4400 N Clarendon Av,Harlem Irving Co. & JDL Development Corp.,,"Located in the Uptown community area, the project will redevelop the currently vacant Columbus-Maryville site. The portion of the property on the west side of North Clarendon Avenue will be redeveloped with a 26-story mixed-use building with 381 residential units, including 20 affordable units, and a grocery store of approximately 30,511 square feet at the building's  base along with 278 enclosed parking spaces. The property on the east side of North Clarendon Avenue will include a new 1-story building, consisting of approximately 5,900 square feet of retail space with 11 exterior parking spaces. 10 units will be set aside for Low Income Families whose annual income does not exceed 50% AMI and 10 units will be set aside for Low Income families whose annual income does not exceed 60% AMI.",1/12/16,"$15,880,000 ","$125,044,198 ",41.9618863,-87.65006015
11551,51st/Lake Park,City Hyde Park TIF,5100 S Lake Park Av,Antheus Capital,,"The Developer intends to construct a mixed-use retail and residential development comprised of approximately 105,000 sq ft of retail, anchored by a 30,000 sq ft grocery store, as well as one residential tower above the Retail Space comprised of approximately 180 residential units (144 market rate and 36 affordable units), and an underground parking garage with a minimum of 350 spaces and containing certain green initiatives. The project will bring much needed retail and grocery to the Hyde Park area, as well as expand the number of affordable housing units. 72 market rate and 33 affordable units must be leased and occupied by CoC. At least 80% of the 36 residential units must be leased and occupied each year.",10/9/12,"$11,321,242 ","$113,445,664 ",41.80237973,-87.58797941
1694,Humboldt Park Commercial,North Talman - Phase III,2656 W North Av,Sacramento and Thomas Corporation,1116,"Located in the West town community, the project involves a partial renovation and adaptive reuse of a vacant warehouse  into 33 affordable units.  All the units will be affordable for households earning no more than 80% of the area median income.",8/9/11,"$2,358,496 ","$13,620,168 ",41.91035372,-87.69440401
1333,Midwest,Lawndale Restoration Apts,3239 W Douglas Bv,"Lawndale H&A Bond, LP, and Lawndale H&A Bond Development, LLC",154,"Located in North Lawndale community area, the project included the rehabilitation of 66-units in four buildings which are part of a larger ten building 170-unit project.  The entire projects consists of affordable multi-family rental units.",3/13/07,"$8,950,000 ","$28,796,475 ",41.86238128,-87.70712654
1283,Irving/Cicero,Klee Bldg,4001 N Milwaukee Av,"Chicago Klee Development, LLC",76,"Redevelop Klee Building and construct 2 new buildings; 64 condos, 13 affordable units (100% AMI), 20k sf retail / commercial, underground parking and 23 outdoor spaces",3/9/04,"$1,642,000 ","$19,197,699 ",41.9535616,-87.74731372
13090,Peterson/Cicero,Peterson Cicero - Sauganash Place Whole Foods,6020 N Cicero Av,"Peterson Cicero, LLC",,"Located in the Forest Glen community, the project includes construction of two separate buildings containing approximately
40,405 square feet of commercial space and approximately 136 condominium units, including 27 affordable units.",9/28/04,"$10,300,000 ","$63,689,644 ",41.99049477,-87.74847741
13089,Lawrence/Broadway,Leland Hotel,1201 W Leland Av,Leland L.P.,,"Located in the Uptown community, the project consists of rehabilitating a 75,000 square foot six-story building.  The building will include 137 apartments and rental commercial space on first floor.",2/25/02,"$2,000,000 ","$14,774,804 ",41.96708739,-87.65972052
500071,Midwest,City Gardens (f/k/a Maplewood Courts),322 S Maplewood Av,"BM Maplewood, LLC",,"The proposed redevelopment project is being developed by a joint venture between Brinshore Develoment, LLC (David Brint and Richard Sciortino, the principals) and The Michaels Development Company (Michael Levitt, principal).  Brinshore-Michaels has successfully undertaken the redevelopment efforts at three additional former CHA public housing redevelopment sites - Henry Horner Homes, Robert Taylor Homes and Ogden-North (Lawndale Complex).  Additionally, the Michaels organization reports to have successfully developed over 31,000 housing units in 27 states, the District of Columbia and the U.S. Virgin Islands.  Brinshore reports to have completed more than thirty tax credit funded projects, comprised of over 3,000 apartments and homes across the Midwest in Indianapolis, Indiana, Milwaukee, Wisconsin, Fort Madison, Iowa, and the following cities located in Illinois: Bloomington, Champaign, Chicago, Galesurg, Highland Park, Joliet, Melrose Park, Naperville, Matoon, Rock Island, Rockford, and Urbana.  The requested HED financing for this project is $1,750,000 in 9% LIHTCs which will generate $16,973,303 in equity, $2,700,000 in TIF funding, a private first mortgage of $1,150,000, a CHA HOPE VI loan of $7,275,000, $328,558 in deferred developer fee and a $100 general partner equity contribution.  The total project cost is $28,426,960. 
 
This project is part of the redevelopment of the CHA Rockwell Gardens public housing development.  The proposed redevelopment project is the new construction of 76 rental units, in seven (7) residential three-stsory walk-up buildings, built on land currently owned by the Chicago Housing Authority (CHA).  The project will consist of 25 CHA replacement units, 30 affordable units and 21 market-rate units.  The public housing units are intended to replace housing units demolished at the Maplewood Courts site and the former Rockwell Gardens, the CHA development immediately adjacent to the subject property.  Built in 1961 and located 3 miles west of Chicago's Central Business District, Rockwell Gardens originally consisted of 1,126 housing units.  Demolition of this development began in 2003 as this project is part of the CHA's Plan for Transformation.  In addition to the seven residential buildings, an accessory building will be built to house the management/community center.  All buildings will be 100% masonry with a combination of brick with limestone accents.  There will be 20 one-bedroom units, 36 two-bedroom units, 18 three-bedroom units, and 2 four-bedroom units.  The site is bounded by Jackson Boulevard on the North, Maplewood Street (previously vacated but newly reconstruction) on the East, Van Buren Street on the South and Rockwell Street (vacated) on the West.  Buildings along Jackson, Van Buren and new Maplewood will face onto the streets.  The building along vacated Rockwell will face an internal ""plaza"" consisting of abundant landscaping and parking for the development.  The plaza will also house the management/community center, a tot lot and passive open green space for the residents.  There will be sixty on-site parking spaces.",12/9/14,"$2,700,000 ","$28,426,960 ",41.87693673,-87.6902221
1396,Central West,Horner - IIA2 - Midrise,100 N Hermitage Av,"WHP Tower, LLC and WHP Tower Rental, LLC",258,"Located in the Near West Side community, the project includes the construction of a 113 unit residential mid-rise building.  The residential building includes 79 for-sale units, including 7 affordable units for sale, and 34 affordable one bedroom public housing rental units. Other 79 units are a mix of one and two bedrooms.",3/9/04,"$2,611,649 ","$30,870,827 ",41.88328574,-87.67072762
1331,Central West,Horner - IIA1 - Lowrise,2257 W Lake St,"WHP Homes, LLC",147,"The project includes the construction of seven three-story buildings.  The building has 60 residential for-sale units of which twelve are affordable units. Mix of one, two, and three bedroom units.",6/12/07,"$2,501,821 ","$17,295,471 ",41.88460844,-87.68390009
1652,Near North,River Village - Site H1,845 N Kingsbury St,River Village Townhomes,1037,"Located in the Near North community, the project includes construction of 78 residential units; 66 townhomes and 12 multi-level units.   There are 18 affordable units at 120% area median income and 25 CHA units.",6/8/04,"$1,362,656 ","$4,413,680 ",41.89791697,-87.64313292
11159,"Kinzie Industrial Corridor,Chicago/Central Park",Nelson Mandela Apartments,549 N Drake Av,Bickerdike Redevelopment Corp,,"Nelson Mandela Apartments will be located in the 27th ward and will consist of new construction of 72-units of affordable rental housing on eight sites in the West Humboldt Park neighborhood.  The buildings, will be a combination of three-flats and six-flats that will contain a mix of one-, two- and three-bedroom units, all of which will be affordable to families earning 60% AMI and below. In addition to the apartments, the project will also offer off-street parking, bicycle storage, secured intercom entry systems, and common laundry facilities.  The developer, Bickerdike, plans to achieve energy star certification.

This project also recites in the Kinzie Corridor TIF",10/13/15,"$6,450,503 ","$27,062,606 ",41.89173038,-87.71483566
1231,Near North,Lakefront SRO - Clybourn,1244 N Clybourn Av,Lakefront Supportive Housing,4,"The project will construct 32,997 square feet five-story LEED certified single room occupancy (SRO) project.  There will be 96 units in the SRO. All units for low and very low income tenants (less than 30% AMI).",4/12/05,"$1,000,000 ","$14,178,548 ",41.90469774,-87.64107458
1334,Midwest,Liberty Square,705 S Independence Bv,"Liberty Square L.P. and H.I.C.A., Inc.",157,"Located in East Garfield Park community, the project consists of construction of 66 residential units in (12) 3-story walk-up buildings and 66 parking spaces. 59 of the units will be affordable at 60% area median income.",4/27/04,"$1,900,000 ","$14,338,917 ",41.87244138,-87.71958599
1549,Central Loop,IGA - CTA - Central Loop Project,1 N State St,Chicago Transit Authority,733,"The project consists of rehabilitating various Central Loop CTA stations, replacing 9,500 lineal feet of track and rail ties on elevated rail system along Lake & Wabash legs of the Loop track, replacing escalators and escalator-related platforms at various stations, and creating new escalator service near subway system under State St.",11/1/08,"$22,200,000 ","$85,354,000 ",41.88211763,-87.62767361
500086,47th/King Drive,Legends South C-3 Rental,109 E 43rd St,"Legends C-3, LLC",,"Owner: Legends C-3, LLC 
Developer: BMT I, LLC 
Contractor: Power and Sons, Inc. 
Architect: Landone Bone Baker 
Attorney: Applegate Thorne Thomsen 
Syndicator:Prestige Affordable Housing 
Lead Lender:Continental Mortgage Company 
 
The Legends South C-3 Rental development project consists of seventy-one new construction, mixed income rental units. The site consists of 14 parcels of City-owned land. The project is part of CHA's plan for Transformation and will provide 30 units of replacement public housing.  Additionally, there will be twenty-three LIHTC units, and 18 Unrestricted market rate units. The development will be located in the 3rd Ward, and within the boundaries of the 47th and King Drive TIF district.   
 
The project will include 11 newly constructed buildings varing from three to twelve units, and will be masonry with brick facades.   The building will meet Energy Star Rating requirements and will include green features such as water conserving plumbing fixtured, low/no VOC paints and primers, insulated entry doors, cool roof and reflective paving, and certified and engineered wood products with recycled materials.   
 
The project is a joint venture between Brinshore Development, LLC and The Michaels Development Company.  In addition to all phases of development at Legneds South, the developer has also undertaken the redevelopment efforts at two other CHA sites - Henry Horner Homes aka Westhaven Park, and Ogden-North aka Park Douglas.  In total, Brinshore-Michaels has developed over 1200 mixed-income rental units in the City of Chicago. 
 
Funding Sources 
IHDA         1.5M LIHTC 
CHA Loan  8.7M 
City           $1.4 M in Multifamily Loan, city land, up to 300K in DTC's",10/9/14,"$3,030,091 ","$26,198,944 ",41.8164375,-87.62258073
500094,Near North,Parkside Of Old Town Phase IIB,459 W Division St,"Parkside Associates, LLC",,"Under the CHA Transformation plan, this proposed development will be the new construction of two buildings, on two sites, containing a total of 106-rental units, and approximately 66 off-street parking spaces.  The first building will be nine stories tall, with 94 residential units, approximately 59 on-site interior parking spaces, and five townhouse-style units and two walk-up flats attached to the rear facade of the building.  This structure will sit on Division and Cleveland Streets.  The second building will be a three-story walk-up residential building with 12 units and seven on-site exterior parking spaces.  All of the units will have outdoor space; the units at grade will have small private yards, and the upper units will have private balconies.  Of the 106-units, 36 will be CHA replacement housing, 27 will be affordable to households earning 60% or less of the AMI and 43 will be market rate. 
 
Total development costs are currently at $40,951,529, and consist of tax-exempt bonds issued by the City of Chicago, TIF funds, City Multi-Family funds, Hope VI Grant funds from CHA, Donation Tax Credits from IHDA, and syndicator tax credit equity.  The breakdown of funds is as follows: 
 
First Mortgage:              $  3,774,267 (A-bond to be repaid from Net Operating Income)                   
HOPE VI/Capital Funds:  12,442,319 (CHA) 
TIF Funds:                      10,000,000 (Near North TIF) 
Multi-Family Funds:          1,900,000 (City) 
Donation T.C. Equity:       3,590,000 (IHDA) 
Syndicator Equity:            8,734,843 
Deferred Dev. Fee:             500,000 
G.P. Contribution:                 10,100 
 
The B-bond, or bridge bond of $19,447,281, will be used during the construction period, and will be repaid with the CHA HOPE VI funds and tax credit equity.  There is an 18-month construction period contemplated for the buildings.",4/8/14,"$10,000,000 ","$41,351,529 ",41.90364882,-87.64046322
500082,49th/St. Lawrence,Cornerstone Apartments,4950 S Langley Av,Related Midwest,,"Cornerstone Apartments, consists of four three-story walk-up buildings: a 24-unit building located at E. 50th Place/Evans (Evans Bldg), a 21-unit building located at E. 50th Place/Langley (Langley Bldg), an 8-unit building located at 613 E. 50th Street and a 6-unit building located at 637 E. 50th Street. 

There are a total of 59 units, with 52 units being allocated as LIHTC units. These apartments were built for low and moderate-income families in the 4th Ward and were acquired by Cornerstone in 2012. To meet the Green Requirements, the buildings will meet the Energy Star rating.",3/11/14,"$2,000,000 ","$15,074,487 ",41.80435535,-87.60902296
500087,119th/Halsted,Kennedy Jordan Manor,825 W 118th St,"Kennedy Jordan Manor, Inc",,"The Project is a 70-unit senior rental building to be located at 118th Street and Green in the 34th Ward's West Pullman Community area. The development includes a 3-story building consisting of 8 studio and 62 one-bedroom units. The building will be for seniors whose incomes are at or below 60% of AMI and tenants will pay for electricity and cooking gas. The first floor of the building will include residential units, an office and a community programming space, including an exercise and community room with a kitchen. Floors 2 and 3 will include typical studio and one bedroom units. 

The Low-Income Project shall mean 65 units in the Project are required to be occupied by Low-Income Families.",6/10/14,"$1,500,000 ","$16,524,593 ",41.67950676,-87.6430113
1774,Lincoln Avenue,IGA - CPD - Park 0241 - Mather Park,5941 N Richmond St,Chicago Park District,2128,An intergovernmental agreement between the City of Chicago and the Chicago Park District,11/16/11,"$250,000 ","$450,000 ",41.9891272,-87.70285048
12860,43rd/Cottage Grove (DOH),45th Cottage Grove - Phase 1,4400 S Cottage Grove Av,The Michaels Organization,,"The first phase of a residential/retail mixed use and mixed income project on land owned by the Chicago Housing Authority.  Part of CHA's Plan for Transformation/Plan Forward.  Phase 1 will contain 84 residential units in two four-story buildings fronting along Cottage Grove Avenue; and 15,000 square feet of retail space on the ground level.  The unit mix ranges from studio units to 3-bedroom units; 21 units will be available for former CHA residents; 34 units will be available for tenants earning up to 60% AMI; 29 units will be market rate rentals.  The addresses for the two Phase 1 buildings are 4424 S. Cottage Grove Ave. and 4434 S. Cottage Grove Ave.

The 2nd phase will involve the new construction of  3-story walk-up buildings on the west portion of the site and on 6 city owned lots that are off-site; approximately 1 block from the subject site.  The 6 city owned lots will be reserved for the 45th-Cottage Grove project within the COLS database.",7/10/18,"$7,200,000 ","$38,363,543 ",41.81490392,-87.60682726
1294,Montclare,Montclare Sr Residence Belden Phase II,6640 W Belden Av,"Montclare Sr. Residences Phase II, L.P.",92,"Located in the Belmont/Cragin community, the project includes construction of a 7-story 155,000 square foot building. The building includes 180 rental units; 18 market rate unit, 86 1-bed affordable units  at 60% area median income, 38 1-bed affordable units at 40% area median income, and 38 2-bed units at 60% area median income. One resident must be 55 or older, and capable of independent living.",9/24/02,"$7,197,700 ","$25,152,340 ",41.92131571,-87.79182387
1706,Fullerton/Milwaukee,Zapata Apts,1955 N Saint Louis Av,"Zapata Apartments, LP and Bickerdike Redevelopment Corp.",1136,"The Zapata Apartments project is located in the Fullerton/Milwaukee TIF District. The affordable housing project consists of new construction of 61 units on four different sites within the TIF district. The sites are located in the following locations: 3230 W. Armitage, 3503 W. Armitage, 1955 N. St. Louis, 3734 W. Cortland. The site on St. Louis will contain 3,700 square feet of commercial space. 

All apartments will be affordable to households at or below 60% AMI and will range from 600-1,309 square feet.",5/10/11,"$4,612,967 ","$25,073,571 ",41.91725524,-87.71338923
1373,49th/St. Lawrence,Willard Square,4915 S Saint Lawrence Av,Willard Square Apartments LLC,214,"Located in the Grand Boulevard community area, the project includes the construction of fifteen 3-story six unit buildings, two 3-story, 3-unit  buildings and one 3-story, 4-unit building, with approximately 100 dwelling units and related facilities.",11/14/95,"$3,457,564 ","$11,388,438 ",41.80533757,-87.61121345
1019,Midwest,Renaissance Place Apartments,3123 W Douglas Bv,"RPA L.P. and LCDC Safeway II, LLC",366,"Located in the North Lawndale community, Renaissance Place Apartments rehabilitated three, three-story walk-up brick buildings.  The project consists of 54 residential units which include a mix of two, three and four bedroom units.  

The project will provide affordable units for households earning no more than 60 percent of the area median income. The three (3) buildings to be located at 3123-27 West Douglas Boulevard, 3131 West Douglas Boulevard, 3700-06 West Douglas Boulevard/1336-1342 South Lawndale Avenue and 3708 West Douglas Boulevard in Chicago, Illinois.  

One hundred percent (100%) of the units in the project will be financed with UFG Funds and are required to be occupied by Low-Income families.",3/13/07,"$2,000,000 ","$10,767,263 ",41.86241884,-87.70399892
1458,35th/State,Stateway Gardens - Phase 2 - Park Blvd - II-B,3633 S State St,Park Boulevard IIB Manager LLC,400,The Stateway Gardens Phase II project is located in the 35th/State TIF District. The project of the Chicago Housing Authority consists of the construction of four buildings containing 108 rental apartment units. 71 units will be affordable.,5/8/12,"$5,000,000 ","$41,031,100 ",41.82865019,-87.62635888
1613,Bryn Mawr/Broadway,IGA - CTA - Berwyn Station,1109 W Berwyn Av,Chicago Transit Authority,934,IGA for Rehabilitation of the Berwyn Rapid Transit Station on the Red Line.,11/8/09,"$1,173,768 ","$1,173,768 ",41.97806089,-87.65828585
12860,43rd/Cottage Grove (DOH),45th Cottage Grove - Phase 1,4400 S Cottage Grove Av,The Michaels Organization,,"The first phase of a residential/retail mixed use and mixed income project on land owned by the Chicago Housing Authority.  Part of CHA's Plan for Transformation/Plan Forward.  Phase 1 will contain 84 residential units in two four-story buildings fronting along Cottage Grove Avenue; and 15,000 square feet of retail space on the ground level.  The unit mix ranges from studio units to 3-bedroom units; 21 units will be available for former CHA residents; 34 units will be available for tenants earning up to 60% AMI; 29 units will be market rate rentals.  The addresses for the two Phase 1 buildings are 4424 S. Cottage Grove Ave. and 4434 S. Cottage Grove Ave.

The 2nd phase will involve the new construction of  3-story walk-up buildings on the west portion of the site and on 6 city owned lots that are off-site; approximately 1 block from the subject site.  The 6 city owned lots will be reserved for the 45th-Cottage Grove project within the COLS database.",7/10/18,"$7,200,000 ","$38,363,543 ",41.81490392,-87.60682726
1288,Roosevelt/Union,UIC,2035 W Taylor St,Office of University Counsel,81,"Located in the Near West Side community area, the project includes the land acquisition, demolition, environmental remediation, and infrastructure improvements.  The project also consists of student housing for 750 residents, new retail space,parking garages,
and private for-sale housing.",12/1/98,"$107,957,123 ","$680,847,764 ",41.86898319,-87.6773088
1307,Peterson/Cicero,Peterson Cicero - Sauganash Place Whole Foods,6020 N Cicero Av,"Peterson Cicero, LLC",110,"Located in the Forest Glen community, the project includes construction of two separate buildings containing approximately
40,405 square feet of commercial space and approximately 136 condominium units, including 27 affordable units.",9/28/04,"$10,300,000 ","$63,689,644 ",41.99049477,-87.74847741
1358,Humboldt Park Commercial,La Estancia,3228 W Division St,La Estancia L.P.,194,"Located in the West Town community, the project includes construction of 57 affordable rental units  at 60% area median income in three buildings, 12,000 square feet of affordable commercial space, and 62 parking spaces.",12/14/04,"$1,555,485 ","$16,971,908 ",41.9029307,-87.70790669
500068,Englewood Neighborhood,Hope Manor II Apartments,6002 S Halsted St,Volunteers of America of Illinois,,"The Hope Manor II Apartments project is located in the Englewood Neighborhood TIF District. The project consists of the construction of 73-units of affordable rental housing for homeless or near-homeless veterans and their families. The development will consist of five townhome units, six, six-flat buildings, and one, three-story structure, with unit sizes ranging from one- to four-bedrooms.  .",10/29/12,"$3,000,000 ","$23,453,924 ",41.78499449,-87.64506315
1769,Jefferson Park,IGA - CPD - Park 0094 - Jefferson Memorial,4822 N Long Av,Chicago Park District,2122,"The TIF-Funded Improvements for the Project include the following: demolition of the existing playground, design of new playground, installation of drainage, utilities, surfacing, play equipment and furnishings, spray feature, and landscaping.""",6/20/11,"$600,000 ","$600,000 ",41.96840534,-87.76260533
11051,Western Avenue North,IGA - CBE  - McPherson,4728 N Wolcott Av,"Chicago Tiny House, Inc.",,"This project includes the costs associated with the planning, design, and construction a three
phased master plan for the McPherson Elementary School campus. Friends of McPherson and the
school's principal have been working in conjunction with Openlands to create the master plan.
Development activities include parking, playground improvements, artificial turf field, walkways,
native plantings and gardens, lighting and site furnishings, drainage, utility improvements and
accessibility enhancements. The complete development program for the master plan is as follows.
CPS is requesting TIF funds to support Phase 1 and Phase 3 of the master plan. An Illinois Green
Infrastructure Grant has been applied for by Friends of McPherson and is anticipated to cover costs
associated with Phase 2 of the plan.",10/8/14,"$400,000 ","$800,000 ",41.96784758,-87.67632505
11072,Foster and California,IGA - CBE - Budlong Elementary,2701 W Foster Av,"Chicago Tiny House, Inc.",,"An Intergovernmental Agreement with the Board of Education of the City of Chicago in order to provide Tax Increment Financing (TIF) to reimburse the Chicago Board of Education for the costs associated with the complete renovation of bathrooms at Budlong Elementary School. This project includes the complete demolition and replacement of new bathrooms on the first, second and third floors of the school to provide modern accessibility and bring the facility into current code compliance.",9/24/15,"$2,200,000 ","$2,200,000 ",41.97572652,-87.69660443
1721,Englewood Neighborhood,IGA - CBE - ADA - Banneker,6656 S Normal Av,"Chicago Tiny House, Inc.",1156,An intergovernmental agreement between the City of Chicago and the Chicago Board of Education regarding accessibility improvements.,4/13/11,"$2,000,000 ","$2,213,070 ",41.77275434,-87.63729464
10447,Galewood/Armitage Industrial,IGA - CPD - Amundsen Park,6200 W Bloomingdale Av,Chicago Park District,,An intergovernmental agreement between the City of Chicago and Chicago Park District.,6/3/14,"$2,850,000 ","$2,850,000 ",41.91295562,-87.78027681
1525,Central Loop,Reliance Bldg - IV - Hotel Burnham,37 N State St,Canal Street Hotel Partners LP,667,"Located in the Loop, the project includes restoration of an historic 14-story office building known as ""Reliance Building"" for use as Hotel Burnham and a restaurant.",12/9/97,"$2,458,426 ","$21,783,426 ",41.88289664,-87.62771498
1044,Western/Rock Island,IGA - CBE - Morgan Park High School,1744 W Pryor Av,"Chicago Tiny House, Inc.",2045,Intergovernmental Agreement with Board of Education to provide TIF funds to reimburse CPS for the cost associated with the installation of ceiling fans in the school building.,2/7/12,"$44,000 ","$44,000 ",41.69206041,-87.66564309
502018,Foster and California,Swedish Covenant Hospital ER/Women's Floor Rehab,5145 N California Av,Swedish Covenant Hospital,,"Women's Health Care Center:
SCH plans to expand and enhance clinical services by removing access barriers for women of every ethnic and religious group.  The anchor for this initiative is building the Mayora Rosenberg Women's Health Center on the 4th floor of the Galter Medical Pavilion.  The 4th floor will be totally redone to provide more than 13,000 square feet for a Women's Health Center, a Resource Center, and outpatient Cardiology Center for Women, and class and conference rooms  A new women's health center provides the opportunity to centralize in one area all services for women, provide an all? female staff and women only patient areas, scheduling with evening and weekend appointments, child friendly areas, bilingual staff and bi-lingual educational health care resource materials.

Emergency Department:
Emergency Department Renovation will consist of a ""gut rehab"" of approximately 14,603 square feet on the 1st floor of the East Wing building.  Specific improvements include 15 private large rooms for trauma cases, 5 dedicated psychiatric rooms, 12-bay fast track private exam areas, new post-exam common waiting area, private consultation room, new pharmacy work station, new physician/nurse work station, and improvements to the infrastructure that serves the emergency room (e.g. elevators, mechanical systems, communications, and restrooms).",3/11/14,"$4,600,000 ","$18,397,806 ",41.97533414,-87.69875688
